iter	Passed	Remaining
0	0	82
1	1	68
2	2	65
3	2	57
4	3	57
5	4	65
6	5	70
7	6	80
8	8	88
9	10	92
10	11	96
11	13	101
12	15	104
13	17	106
14	18	105
15	19	104
16	20	102
17	22	102
18	23	99
19	24	98
20	25	96
21	26	94
22	28	94
23	29	92
24	30	91
25	31	88
26	32	87
27	33	85
28	34	83
29	34	81
30	35	79
31	36	78
32	37	76
33	38	74
34	39	72
35	39	71
36	40	69
37	41	68
38	42	66
39	43	65
40	44	63
41	44	61
42	45	59
43	45	58
44	46	56
45	46	54
46	47	53
47	48	52
48	49	51
49	49	49
50	50	48
51	51	47
52	52	46
53	52	45
54	53	43
55	54	42
56	54	41
57	55	40
58	56	39
59	57	38
60	57	36
61	58	35
62	59	34
63	59	33
64	60	32
65	61	31
66	62	30
67	62	29
68	63	28
69	63	27
70	64	26
71	65	25
72	65	24
73	66	23
74	67	22
75	68	21
76	68	20
77	69	19
78	70	18
79	71	17
80	71	16
81	72	15
82	73	14
83	73	14
84	74	13
85	75	12
86	75	11
87	76	10
88	77	9
89	78	8
90	78	7
91	79	6
92	80	6
93	80	5
94	81	4
95	82	3
96	82	2
97	83	1
98	84	0
99	84	0
